project_name,project_desc,offer_desc
tutor major,Brutal but seems to be a better choice over H1Z1 or ARK considering the price and decent optimisation. The game doesn't succumb to survival cleches like zombies but instead focuses on the conflicts and peace between the players by implementing several mechanics for attacking and defending bases but also sharing houses and territory with other players.Edit Try modded if you're solo. Much better for solos than vanilla.,Jacob Grant
joki instead,,Matthew Walls
joki suddenly,,James Robertson
joki speak,,James Escobar
cari although,,Katherine Martinez
tutor common,,Carla Perry
cari or,,Keith Fowler
joki Mr,Dead playerbaseFilled with hackersLoading times long enough to beat Dark SoulsImpossible to stay in one server for more than 10 minutesEmpty world,Melissa Schneider
cari she,i like it nice game cool graphics scary weapons angry cops and you can drink beer and whiskey. 10/10.1,Rachael Robinson
joki attorney,,Mark Johnson
tutor notice,hi,Shirley York
joki short,,Gary Garcia
cari run,,Mark Wilson
tutor memory,Black is the new white...,Tina Escobar
cari response,Spiky Boi made me rage quit.,Derek Howard
joki which,,Danielle Harris
tutor front,,Ann Wright
cari like,,Adriana Adkins
tutor more,,Todd Jones
cari production,,Timothy Gomez
joki agent,Half of my playtime came from loading screens,Anne Martinez
tutor would,,Mary Strickland
joki letter,,Elizabeth Harris
cari wide,Wow after playing Fortnite it's clear what an unfinished piece of garbage this game is. What are the devs even doing on a daily basis? Not making the game fun that's for sure. And whoever thought a desert map would be a good idea should quit game design forever. Fortnite does everything better than this game. Where is the loot? It's too hard to find anything useful at all. I can't believe I was excited when they implemented mantling. Just shows how blind the devs are to what is actually needed. MAKE THE DAMN GAME FUN! This game is not fun this game is a job farming loot crates for Steam credit. And Miramar SUCKS.,David Roberts
joki product,It's boring to plaly alone and it is a grinding game but it's fun and with the EXP system coming out it should balence the game more.,Jeffrey Simpson
cari rule,,Crystal Holder
tutor expert,You know what. The state of this game right now on 10/26/2017 is These people have plenty of money to get better servers and they just wont. They just released an update that has made mine and my all my friends game play expereance worse some how. Right now i wouldnt recommmend this game. They need to fix there PC issuses befor the create XBOX issues.,Audrey Moore
tutor stand,,Nicole Miller
cari body,"First I owned the PS3 version then bought the PC version lured in by some gameplays on youtube.I already finished story mode in the PS3 version (finished as in I got bored by the bland characters without any agency other than ""gotta make that paper brah"" and stopped playing the game because the world was boring and the cops were killing any and all fun to be had) so I basically bought this for online mode.The good things first OptimizationThe game runs great. The Framerate seldom dips. GraphicsIt looks pretty good.Now about the negative aspects. GTA online is a boring grind. I told myself I'd not care about money and levels but it turns out you have to and you have to grind the same few jobs over and over and over to get money and rank points to level up because EVERYTHING is hidden behind a pay and rank wall so tall Trump would tell Rockstar to take it down a notch. The payouts are really poor so it takes you forever to save up money for something you'd like but can't buy because your level isn't high enough. Now I wouldn't mind this if the races were fun but all I get is the same boring supercar race (looking at you congestion charge) over and over then maybe some ""muscle up"" perhaps one or another offroad race but they're all equally dull.Where the hell are the oddball races? Taking rusty tractors down Mt. Chiliad? Racing golf carts on a runway which planes are taking off and landing on? Cycling on the freeway in the opposing lane with traffic on? Helicopter races through the wind mill farm? Faggios through a cow farm? ANYTHING ELSE THAN ANOTHER ""DRIVE THIS EXOTIC SUPERTURD ON THE SAME COURSE YOU'VE DRIVEN ON COUNTLESS TIMES JUST TO GET THAT MEASLY PAYOUT?""Oh"" you'll say ""Just make these races yourself and then host them"".Yeah I'll make them and then grow a nice beard waiting for even one soul to join. Sounds like real fun.In the end this game feels like nothing but a skinner box to make people buy shark cards.",Amber Thomas
cari wish,Pretty good atmosphere just not enough content for the price.,Jodi Rodriguez
tutor character,,Diana Herrera
cari into,,Austin Santana
cari record,,David Henderson
cari occur,,Jessica Jordan
cari way,"PROS +AMAZINGLY FUN INTENSE BATTLE ROYAL FIRST PERSON SHOOTER GAME.Devs continue to battle hackers with massive ban wavesReleasing new maps Reworked the whole crate / skin / level up systemAdding more gunsCONS / BUGS Desync servers causing you to get shot a second after running behind a wall for cover When first landing at the start with new snow map getting ""parachute freeze bug"" in air bug even sometimes getting heavy lag and rubberbanding some people even dc My squad can't see me on the map ""invisible bug"" but I'm right next to them Plain sight cheaters that ruin it especially once reaching into the top 10% ESP player location Aimbot Macro ""XTM rapid fire"" No Recoil Flying CarsUpdate 1/3/19 The cheaters are way less frequent now and there has been a huge wave of pro players account bans recently lol not so pro after all uh... OVERALL REVIEW I do recommend PUBG this shooter game can still be intensly fun and the graphics are nice too",Shawna Ramirez
tutor listen,no,Stephen Green
cari more,Good Game But its so lag,Alicia Edwards
joki can,DLC money .,Michael Williams
tutor seem,,Tyler Wolfe
cari page,vary vgood game even thogh i get 12 fps,Darryl Dyer
cari want,,Cathy Mendez
cari early,Some people say they don't like soccer games or car racing games but they love Rocket League and it's easy to see why! Easy to get into but hard to master! It has become one of my recent favourite games to play and its even better when yopu play with mates.,Samuel Rowe
joki face,a hy basketball car game dont play go outsidde and get some sunshine ing poopys,Jeffrey Hudson
tutor improve,Always still fun,Andrea Thompson
joki suggest,good game.,Jeremy Browning
joki people,,Sarah Schneider
tutor fast,,Denise Tapia
tutor and,,Nicole Wright
cari consider,Good game worth it.Dont be temped by shark cards.,Justin Bradford
joki investment,,Jeremiah Calderon
joki character,,Daniel Nguyen
cari guy,amazing gameplay hands down favorite games,Kim Stephens
cari rest,,Ryan Parker
tutor finish,,Gregory Solomon
tutor paper,,Brandi Smith
tutor move,This game is swag to the max,Mr. Richard Brown
tutor positive,,Michelle Chan
tutor ready,12/10my fave dang game,Amy Delacruz
cari do,Product received for free. &gt Click JOIN A LOBBY&gt Failed to join lobby&gt Click JOIN A LOBBY&gt Failed to join lobby&gt Click JOIN A LOBBY&gt Failed to join lobby&gt Click JOIN A LOBBY&gt Failed to join lobby&gt Click JOIN A LOBBY&gt Failed to join lobby&gt Click JOIN A LOBBY&gt Failed to join lobby&gt Click JOIN A LOBBY&gt Failed to join lobby&gt Switch to killer&gt Create lobby&gt Get in game&gt Get juked 20 times over 4 consecutive obstacles&gt Others exited the map&gt Kill yourself&gt Get 1000 blood points&gt Use it to uninstall game11/10,Shannon Callahan
cari within,Very solid battle royale game surprisingly addicting. Hopefully they will optimise the game and it's servers soon cause this is a game I will certainly play on a weekly basis.,Christopher Cobb
tutor may,,David Gray
cari wide,This game is fluppin great.,Jason Taylor
cari start,Play it with your friends. It's cool,Jesse King
cari statement,,Heather Sims
joki real,,Kimberly Ruiz
cari number,Dost dobrá OpenWorld hra do stylu realního života.Hra má fantastický příběh s fantastickýma postavami kradete auta okrádáte banky střílíte a žijete život.Online je taky dost dobrý jedinej problém je AntiCheat. Stává se dost často že hráč dostane ban i když nic neudělal.Jinak je to všechno super!,Alicia West
cari firm,,Juan Bell
joki life,,Christopher Murphy
joki forget,,Tiffany Herrera
cari employee,,Carrie Garcia
cari paper,,Amber Dorsey
tutor since,awesome game! love it!,Evan Fischer
tutor what,A perfect Remake that holds true to it's name.Insta buy!,Stanley Savage
cari exist,If u like running over people while ur flippin' em the bird you'll enjoy this,Stephanie Collins
tutor with,,Theresa Johnson
joki radio,,Mark Moreno
cari situation,,James Hughes
cari suggest,Game is pretty chill,John Higgins
joki card,,Annette Delgado
tutor executive,,Michelle Anderson
cari sing,,Kristin Johnson
cari single,WHY DID I PAY FOR THIS? crashes all the time cant play,Jason Miller
cari tonight,,Michael Tapia
joki become,,Robert Sosa
tutor another,Great game.,Marissa Nelson
cari anything,,Jody Craig
joki accept,,Lindsay Ross
cari less,Good competitive game would recommend.,Cynthia Parker
tutor inside,,Mallory Haas
cari carry,If you played The Culling before the cancer patch you will probably like this game. It's basically the same besides a lot more people and the combat is largely focussed around guns. So it will be pretty hard for the developers to make the combat system slower **cough**culling**. A large amount of the complaints for this game are focused around micro transactions. Something to note is that all of the items you can buy on the steam market are cosmetics that in no way alter your gameplay. On top of that if you are like me couldn't care less about running around in a yellow suit. You can just sell everything on the steam market. I've made like 7 dollars by selling garbage to kids with their moms credit card but if you get really lucky some items are worth hundreds. So there is that on top of the game being super fun(mainly with friends). Only con I can think of is it seems to mainly drive off your cpu. So if you have a great gpu and a ehh cpu like me you are probably going to be playing on low medium.,Megan Rodriguez
tutor present,"I have purchased several copies of this game for friends. I give it two thumbs and a big smiley face. I have great hopes for this game despite its many current issues. This game has the potential to be a (s)team gaming juggernaut. That being said up until this release there have been many issues including stabilitysynchronizationwildly varied pings in game leading to ""pusher favoring"" in almost every situationabysmal frame ratesrubber bandingseeming inconsistent weapon characteristics and ballisticscomplete lack of any arena where one might practice combat before facing the hordes of experienced players waiting to eat noobs. h I really like this game and I hope it succeeds. h",Jessica Brooks
cari risk,,Samantha Sandoval
tutor act,,Lauren Ross
joki section,,David Johnson
joki choose,Couldn't Follow the train...FML,Jacqueline Adams
tutor my,,Amy Ford
cari court,,David Collins
cari modern,,Ethan Barker
tutor between,,Angela Sanders
joki speech,,Jennifer Hall
tutor security,This is an amazing game! Soccer and racing mixed together in fun team based action. A must buy!,Ashley Montoya
tutor bank,,Anthony Hunt
cari back,,Nicholas Thomas
cari south,,Rodney Conley
joki enter,Pew! Pew!,William Rodriguez
tutor great,,Taylor Burnett
tutor manage,,Jared Gordon
joki customer,,Maria Cardenas
tutor smile,,Francis Jones
tutor husband,,Mark Martinez
tutor direction,,Benjamin Holland
cari recognize,10/10 Would scream at the screen again,Tanya Kelly
joki before,PUBG has some of the best shooting mechanics in any game. The weapons all feel very different from each other with the esceptions of a few pistols the recoil is very easy to control and every kill you get feels very satisfying. Most of the bugs have been ironed out in the recent patches and the servers feel much better with the recent update they got. The only parts that are noticibly buggy are landing around many buildings/trees or trying to pick items up using the pickup key and not the inventory. In conclusion PUBG is fun the bugs are not as bad as people make it out to be and its fun to shoot things,Cynthia Lee
cari history,,Sean Carter
tutor customer,Product received for free. this game is bad you every where you go dont buy it dont play its ruined my life forever so dont play it.,Richard Velasquez
cari together,,Keith Merritt
cari character,,Janet Jones
joki camera,,Blake Johnson
cari science,,Nicholas Cannon
tutor during,,Jennifer Greene
cari fight,,Andrew Wong
joki decision,"Huge replay value. New update has solved alot of issues and they are working on ""Survive with Friends"" mode.",Misty Jackson
cari break,Fantastic 10/10,Ann Gregory
joki off,"game is terrible. i traded (i knocked him he knocked me) with a kid today and that was my breaking point. also heard a buggy rev behind me then it didn't make single noise untill it ran me over. couldn't hear it at all. THEN to top it all off i get one pumped by a shot gun when i sprayed him with a micro uzi because of dsync. done with it. brendan fix your damn game.ALSO https //clips.twitch.tv/ElatedInterestingAlmondUWothttps //clips.twitch.tv/CleanCautiousSushiStrawBearywatch these. this game is overrated garbage. ""its still in early access stop crying about it"" is no longer an excuse. this game is supposed to RELEASE NEXT MONTH and im still getting dsync. garbage game. h1&gt pubg at this point honestly. don't buy this game unless you like raging and garbage mechanics.you can literally loot for the WHOLE ENTIRE GAME THEN DIE TO THE STUPID CIRCLE. you can loot a WHOLE CITY AND FIND A M16 WITH 30/30 SHOTS.you can loot a whole buildin AT MILITARY BASE. A DAMN MILITARY BASE. and find a level 1 helmet and a machete.don't buy this game please save yourself",Ellen Horton
joki inside,Terrible just terrible. I wasn't able to play the game as it just crashed while loading in a match. Their support team told me I had a processor but it never reached more than 70% preformance when the game crashed because 'the processor reached max prefromance and could not handle it.' And my CPU was within the minimum spec list so clearly that's not why the game crashes. It's because PUBG have a completely support team and development team who keep on updating the game only to create more problems than they fix.,Joshua Murray
tutor family,Great game! Dont trust anyone in this game! Everyman for himself!,Cynthia Drake
joki get,,Allison Chambers
tutor method,,Taylor Perez
tutor toward,I LOVE THIS IN GAME!!!!!,Earl Baker
joki figure,lets just go kill each other ),William Bolton
joki nature,,Matthew Kaufman
cari involve,,Stephen Combs
cari increase,Very fun,Jason Lopez
cari argue,,Kristen Gallegos DVM
joki study,,Daniel Martinez
tutor word,Money is hard to earn it takes alot of time and other players might kill you,Ashley Young
joki study,Really good game. I had fun all the time. Online is such a good thing. You can play whith friends. Need just a little but of a bug fixes and thats all.,Roberto Price
joki wait,,Joshua Whitaker
cari away,,Dan Roberts
cari note,,Mrs. Karen Russell
joki doctor,,Aaron Richardson
joki season,gfy78io,Casey Wu
joki everybody,F*cking S*ite,Justin Huff
cari treat,Toxic but fun.,Veronica Villegas
joki model,While this game is a really fun multiplayer game especially when playing alongside friends the game is too unstable for me to enjoy properly. A current issue I'm experiencing is reoccuring rubberbanding at the start of every match no matter the server or game ranked official or private match. A bit of digging turns up a lot of other people having various rubberbanding and lag issues as well.If you're able to enjoy the game without these issues it is a fun and challenging experience that rewards both individual skill as well as co ordinated teamwork. The physics are a bit cartoony but that seems to be somewhat of an artistic decision.When I'm able to play it it's a lot of fun. However the issues I'm having with the game is really frustrating and often disrupts what is otherwise a fun gaming session. A pity really. I do hope they patch the game up right quick.,Mrs. Janet Jackson
joki enough,I must have downloaded and deletd this game at least a few times already and it takes about two days to get it but it was worth it but I still rate it as the best GTA so far aside from the fact it lacks character creation training of the character to learn different moves and some off the classic arcade games and pool. It has some very creative missions and side missions with easily the best graphics and game dynamics I have seen working to date it does lack the simplicity of GTA one and two and at street level without the missions or side missions it can become tiresome the online play is also very satisfying I recommend buying it if you have the right system spec as long as Im not bugging about what it hasn't got I'd like to see it remade again in a more individualy customisable manor with missions made slightly differently more true to the original game based in a different decade lets hope theres plenty of remixes on the cards of the same game slightly different than it is and it would be hugely entertaining.,Sarah Carlson
joki a,Great game I just don't like how there is different hit boxes for different cars I like playing with a good car that I like and I don't really like the octane. I do like how there are different playlists and the ranked playlists work pretty good. This is a fun game for anyone.,Randy Phillips
joki clearly,,Theresa Hill
joki end,Pick an RC CarPick a paint jobPick decalsPick a hatChoose rimsName yourself SKELETOR and race around blasting heavy metal music out of your while smacking balls.10/10 would blast heavy metal out of Skeletors again,Brandy Calderon
joki stock,,Scott Richardson
tutor want,rip modding,Daniel Mayer
joki memory,,Jennifer Delacruz
cari skin,,Barry Garcia
joki mouth,,Amanda White
tutor admit,这个游戏体验不错 但是吧就是外挂太多 希望steam平台多改善一下吧,Brittney Molina DDS
cari move,,James Cole
joki operation,,Kimberly Wiggins
cari night,bring back mods,Tracy Adams
cari art,,Angela Gutierrez
joki claim,10/10,Kelly Brown
cari the,HIPE 3.0,Michele Lewis
cari others,The economics of GTA VCost of game $60Cost of space on my computer that this game took up 72 GB (Roughly 12% of my computer space)Cost of time when I had to install it 4 hours.Cost of dissapointment when the game wouldn't launch and just crashed too manyCost of time spent re installing the game 12 hours. (reinstalled about 3 times)Cost of time spent looking at forum posts with people with the same problem but different solutions 2 daysCost of time installing game on C / Drive instead of D / Drive (not reached)Cost of time cleaning out C / Drive 6 hoursCost of time resetting PC to factory settings 1 dayCost of time spent trying to realize why my computer wasn't working 3 daysCost of GeekSquad tech support REINSTALLING WINDOWS $200 and 2 daysSubtotals Time about 10 daysCost $260other than that it was fun though.,Vincent Turner
tutor thank,,Tracey Robinson
joki capital,1 more game?,Andrew Douglas Jr.
joki a,,Samantha Glover
joki foreign,,Mr. Ryan Williams
cari manager,,Donald Griffin
joki white,It's okay.,Christine Cooper
cari interview,,Angela Bishop
joki security,,Lisa Lowe
cari second,Product received for free. This game is good and I liked it but the game is but laggy,Elizabeth Wright
tutor shoulder,Its getting crowded by people who are playing as Flash and Robocop(cheaters). Does Anticheats even work or not steamfacepalm,Jacob Miller
tutor environment,,Paige Whitaker
tutor machine,,Joshua Martinez
cari wide,I want this game but i don't have money.....,Amber Sanchez
joki material,Best fun I've had in years very annoyed I didn't play online till recently,Kathleen Turner
joki society,get rid of all the ing hackers,Renee Curtis
cari stay,Its a realy good game. It doesnt matter if u play solo or in an group its always fun,Ebony Cisneros
cari return,,Richard Meza
cari onto,,Paula Glover
tutor though,,Michael Baird
joki age,,Bradley Payne
joki writer,,Stacy Day
cari ready,,Miguel Williams
cari whose,,Jeffrey Gomez
tutor lawyer,,Wanda Graham
joki simply,,Richard Nielsen
cari group,Nice game. But try fix the bugs.,Tina Lewis
cari see,It is gud.,Priscilla Thornton
tutor area,,Ronald Martinez
joki think,take two,Cody Carpenter
cari view,,Kurt Alvarez
joki kitchen,AHHHHHHHHHHHHHHHHHHHHHH MAZING,William Parker
tutor particularly,The game is fun.you make money stupidly slow to encourage you to spent real money on shark cards. But dont worrie with each content update they introduce more expensive things for you to spend money one!,Sherry Perez
joki end,,Paul Hensley
cari goal,1 game is every activity but this game should play with friend 2 4,Barbara Campbell
cari four,,Anne Brock
cari interest,,Dawn Hernandez
tutor long,,Christian Johnston
tutor source,,Christopher Mcdaniel
cari less,,Jason Hamilton
cari sister,,Larry Sawyer
joki weight,This game it's my favourite one,Cindy Wright
joki modern,,Amber Jordan
cari bank,,Jessica Armstrong
cari area,,Lawrence Diaz
joki energy,So they ed with the #1 utility to make mods. They said it was because of hackers abusing this modding tool in GTA Online. Barring the fact that OpenIV didn't affect multiplayer... Where do they get off pretending they ever cared about hackers in Online???Ok game bad unregulated and unbalanced online mode and modding is now essentially illegal. God help anyone who got this game on PC just so they could mod it.,Amy Stuart
tutor however,"Games like these are games that make me wish steam had a ""so so"" setting for reviews. As someone that's played every platform of PUBG I really love this game. There's nothing like it honestly. You can add attachments to weapons during the round which I've wanted in a game like this for what felt like forever and it has a certain degree of challenge and a learning curve that comes with it. Trying to find what attachments are the best with what guns. Also the maps are all pretty big and take a while to explore. While this game is really fun and is worth 30 dollars it is still pretty buggy for a full release and still isn't optimized like it should be. I understand that the maps are all huge and take a lot to handle them with the graphics but it seems like time after time especially on the new Sanhok map random fps drops happen that cost me a kill or the entire round of the game itself. Like a totally perfect loadout and about to get an awesome headshot but then the game freezes and the guy i shot at just lasers me. It really is a shame that this happens frequently but it seems like the devs are working hard to fix that. Anyways that was my 2 cents on PUBG I don't hate it nor do I want it 24/7 but it is a solid BR option.",Kelly Cole
tutor both,,Morgan Thompson
cari very,,Sarah Dodson
tutor move,Do you think mods should be outlawed take two does.,Daniel Moore
cari add,,Jacob Wagner
cari reveal,,Brandi Patton
cari down,,Kristen Schmidt
cari nor,brought modding back review reflects this,Sarah Gilbert
tutor inside,love it &lt 3,Christian Williams
cari often,,Lindsey Reid
tutor manage,,Jordan Allen
,I am tired of playing your new map. Can we finally have option to pick which map we want to play?!?!?!?!?!!?!?!?!?!?!?!!?!?!?!?!?!?!!?!?!?,
,Best Game ever,
,Servers are always on maintenance. What a bunch of amateur not able to built a server redundancy function with maintenance rollover that do not cause interuption. I wish I never purshase that game....,
,This game is good actually but there are some mistakes like vector and tommy gun is not very good and AKM is quite badmeanwhile scar and m4 is the best weapon kar86 should not one hit headshot helmet lvl 3 coz too opand Servers like SEA have no FPP yet at least some duo or squad not very good but the gameplay is good,
,Product received for free. At first I was confused by the weird concept of a game based around cars playing football and didn't really enjoy it but after a while i got the hang of it and the game felt really smooth and nice. At the start of the game i sadly didn't get a tutorial so i had to figure it out myself wich in a way was extreamly fun ! D I can only recomment this game it's got an amasing feel to it has great music and is generally amasing !,
,very fun and addicting game. considering its only alpha i have high hopes for this game. keep up the good work,
,Its in Sick!,
,Great game just need the game to be balanced that would be fun or add 2 killers instead of 1 that would be good to team up.or if somebody complain about the two killers we can make it hard for the survivors to unlock things and make it longer for them to open the doors or do an extra mission to open the biggest doors or something like that.That would be much more fun if the game is more balanced or they add another killer,
,fun fun fun trevor is the sht,
,is so ing cool,
,Utterly garbage yet addictive game.,
,Best Game,
,Runs smooth on 1920x1200 res with a HD7950 3gb mostly maxed out at 50 60fps with the new AMD Catalyst Version 15.4 Beta drivers.No problem also with installing on SSD's. So so far so good. so can recommend it for now.Update runs smooth most of the time sometimes the fps sticks on 30 when i join the game which can be solved by going in graphic settings and back ingame. Dunno if thats a bug ingame or from my gpu though. They could work a bit more on the lag in tennis though )Buy if u just play the singleplayer.Dont buy if u like to play online.,
,yes,
,Best type of open world survival game action u will get on a game.,
,A very fun and realistic game.Offline mode is very fun and online mode is a lot of fun.,
,disappointing,
,"Had this game since 2016 sucked at this game and this was the time when I had a bad PC. Over these 2 years I have developed my skills to become a Gold III. Not much compared to a Champ I or II but I felt that I accomplished a lot in this game. Got a high tier in the Rocket Pass to get all the way up to Tier 70. This game is very unique and fun and I had a lot of fun playing this game everyday with my friends. That is why I nominate this game for ""Better With Friends"". Thx Psyonix &lt 3",
,mun ma ma,
,Honestly this game is a roller coaster of emotions there's vanilla servers which have 0 mods added nothing to help you in gather things faster which is nice but I don't recommend being solo on them or if you do start out as solo then get a friend or friends then there's modded servers these servers can vary you have servers where you can gather resources 2 10 times most servers above 3x are there to help you around the game then you have aim training and battlefield servers the servers mainly to help you control spray paterns these servers are great if you want to get better in the game.I recommend this game to people who don't get frustrated easily and for people that are okay with losing progress that you've put hours into this game is about gaining and losing there's s all over but sometimes you meet nice people which you begin a great experience with. If you buy this game good luck in the buttnaked world,
,i love trhis game its a great community along with excelent ervers.pros lots of gameplay value great community competitve many rank systems and daily challengescons the dekux dosnt really have any benift because you dont get any dlc not really worth the extra moneythe game kinda feels like the dlc is needed and perk mecaicsa dont work as well as they should along with game mecanics I.E nerfs and buffs change every update making the game have either too OP killers or too op surviors,
,ok game,
,Honestly the most fun I've had online in ages. Fast paced and very satisfying when you score an incredible goal or pull off that 'epic' save. A must have for everyone's library!,
,Great survival game. Got #1.8/11 would get another chicken dinner.,
,Great designed game. Makes a lot of fun!,
,The servers can't even keep 4 people in the same session or game for more than 5 minutes anymore. It's been happening for an entire month with people dcing halfway through quests constantly. Enough is enough.Don't buy this game unless you intend to play solo.,
,I am playing this game for 30 days now but this week it's insane... just now not more than 2 minutes ago it was the 3rd crash today!! Myt setup is preaty good i can say GPU GeForce GTX 970CPU Intel(R) Core(TM) i5 3350P CPU 3.10GHzMemory 16 GB RAM (15.95 GB RAM usable)Current resolution 1920 x 1080 60HzOperating system Microsoft Windows 7 Home Premium ... and still is crashing!! Please do something!!,
,sp00kyist game in the Gr ve yarde,
,Before i played PUBG ( ʖ ) &lt ヽ / へ / / ﾚ ノ ヽ_つ / / / / ( (ヽ 丿 ) ) / ノ ) LﾉAfter I played PUBG ﾌﾌ ム ヽ/ ノ) ヽ/ ( ʖ ノ ゝ._ ノ/ ﾉ 7 ヽーく 丶 ノ ノ / ヽ ー '_人 ーﾉ 丶 _人'彡),
,Product received for free. went for a little nice swim and underwater mermaid wolf attacked me. 10/10,
,Product received for free. its not my forte,
,I love open world games and this one is probably my favorite!,
,Loads of fun great community (for the most part) and always scare inducing!,
,Very fun to play definitely worth for its price,
,no,
,best game for players who love football and cars,
,all my hours come from the loading screen,
,Very Surprised with my laptop specs that this game can run perfectly! no flaws Nothing. Very fun game to play with friends but the people online are some of them. 10/10,
,love the concept but there's just too many cheaters and especially BUGS. devs should work on this game faster before they lose more players.,
,I rate this game an undisputable 10/10 it just has to be and here is why my friends. The community is rather toxic always ticks a box for me straight away Matchmaking not too bad of a problem coming in with a whopping 90% of the killers lobby dodging me because I'm one of those cool guys with a legacy item like it makes me pro DBD supposedly s My final reason (all though i have loads more but i don't want to bore you with an essay like most reviews) for recommending this fantastic game has to be the satisfaction of tea bagging and pallet looping against the killers to make them cry its just simply lovely to watch it don't half make me chuckle.,
,"I WANT LENNY SKIN C ON GUYS 6/10 why ? 60% of players are ""kill on sight"" and 60% is big number....",
,its ing grait game it worth 60$ thank R,
,Absolutely great game especially if playing online. The bad thing is it takes quite a lot of storage and lags a LOT if you have a bad computer.,
,First game that I've ever gone back and requested a refund. I'll stick to ARK thank you.,
,aww man i love this game so much!!!1 i think u shoukd buy this game. BUT ONLY IF U HAVE A GOOD PC! Love this! kEEp up the good work PUBG!!,
,Favorite and only sports game I play,
,Best game ever,
,I started playing GTA back when I was a lot younger. Vice City is what got me into the series however none of the other games caught my attention quite like 5 did. I played GTA IV a lot but never completed the campaign because I always got bored halfway through. GTA V on the other hand... I COULD NOT PUT DOWN. I love every aspect of it. (Other than the story not including more heists.) The 3 protagonists are thought out very well. They each have so much character and soul and rockstar packed in a great story to go with it. Just from the prologue I got instantly HOOKED! I would recommend this game to everyone and anyone no matter what games they're into. It's worth finishing at least once. (This is my 3rd time owning the game!) Rockstar did a great job with map design and their attention to detail is INCREDIBLE. So many little obscure details you wouldn't find in any other game that makes GTA V so unique. From the different sounds from cars squishing of wet shoes water only going up to the spot where you actually got wet. There's a lot of people who are whining about the game not getting campaign DLC. Would it have been nice? Sure! Who doesn't like extra content to their favorite games. HOWEVER for the longest time. When you bought a game that's exactly what you got. Despite that Rockstar did a damn well job with GTA V. It'll go down as one of my favorite games.,
,Asddsa,
,sick,
,Product received for free. 给腾讯 散了吧 这游戏要倒了,
,Really god game for being alpha! D,
,mm,
,Perfect Gameplay.!,
,GTA Loading Screens V,
,ITS GTA,
,Yes,
,IS a good game but with a bad computer you can't play this game then you need to play the beta other wise you just lost 20 $,
,LOADING SIMULATOR ONLINE Money is being earned slowly and everything is so expensive that it makes you buy Shark cards and Cheater and Modder on every corner .. R * does not have money for proper anti cheat protection ... pity,
,This game is literally the biggest pile of i have ever played. H1 is a tier 1 game compared to this boring cuck game.,
,Incredible for EA. No game makes your heart race like this one.,
,Great Animations. Awesome game play. Fantastic s*#t your pants moments. Hope they add TrackIR support in the near future.,
,best servers ever&lt 3+rep rip,
,Maybe it was its immersive gameplay or its gripping story... its well crafted characters immaculate design or addictive multiplayer. Whatever the reason the winner of 2018's Game of the Year Award is an instant classic.,
,This game... oh man where do I begin? This game even though it's still in alpha is a hell of a lot of fun. The thing I found fun in this game was trying to find my friends in this huge map it was extremely fun. I kept running into strangers who would sometimes give me stuff or attack me and take my stuff. Once I found my friends then the fun really kicked in. We ran around found some towns that were radiated and looted the buildings for some top notch items. The game is constantly updating with new stuff and I think I will keep playing this game even when the game fully releases. I highly recommend this for people who like survival games that aren't over the top realistic like DayZ.,
,Very funny and interesting game but I recommend you to buy it on sale .,
,Jesus Christ this game is a to play and I hate it so much I don't even know why I bought it.And it is just simply that that makes PUBG 1000x better than stupid Fortnite.,
,Very fun game,
,Product received for free. very good story game,
,...,
,Cool,
,pretty solid game for a alpha. rust is a game to watch,
,"GTA V was an awesome game in it's prime fun with friends alone and even with strangers. When I say ""in it's prime"" I mean the classic console versions not this PC version.Multiplayer There are many aspects I would talk about like the long long loading screens or the non existent balancing between high levels and low levels. But the problem that made me stop playing is that the concentration of cheaters is embarrassingly high I would join a open world server and I would say there's a 50/50 chance to meet a cheater. They would often be invincible and once in a while the cheater would annihilate EVERYBODY at the same time which could be up to 30 players depending if the server was full. Sometimes you would get lucky and get a friendly cheater who gives free money but that ruins the whole point of the game to earn money by doing jobs and spend it on upgrading your stuff. Now I also hear the game's developer firm ""Rockstar"" is trying to get rid of cheaters and removing ""illegitimately"" obtained money by going on a banning spree which resulted in innocent players getting banned as well as their in game money. Online GTA on PC is just unplayable.Singleplayer The singleplayer is what the past GTA games were but better. Big open world to explore with several different environments long and entertaining story to play through. But this is no where worth the 59.99 $ with that money you can buy two good games like PUB G &amp CS GO and still have left over money. I do NOT recommend this game on PC just stick to the console version.",
,Great game hampered by rampant hacking. Anti cheating measures are so woefully bad. When you commit to invest a 30 minute chunk of time to one round of a game only to be killed from across the map with a P1911 headshot while you have a helmet on... you know they have some work to do. In the last several days I've seen hackers in 25% of rounds. Sucking the fun right out...,
,good game,
,basically running simulator 2017,
,more cheaters,
,I only wish I had more friends to play with. This game is amazing made even better if you have 2 3 buddies to adventure with. 10/10 would reccommend.,
,Where do I even begin. This game is probably the most addicting game that I have ever played. There is so much to do and it is just so fun. The gunfights in this game are so surreal. They draw you in and feel like no other game ever has. You're afraid of losing everything you worked for. Then there is the otherside I hate this game with a flaming passion. It makes you want to eat your mouse and put a hole in your monitor but it always makes you come back for more. I tip my hat to Facepunch for making such a unique game. I absolutely recommend this game if you hate your life and have (or dont want) any kind of social life.,
,really fun game!!!!!,
